S. No.,NAME OF THE STUDENT,UNIVERSITY,PROGRAM NAME,Specialisation,SEMESTER,Domain,Math,English,Science,Total
39,Harper Bailey,"Harvard University, USA",MBA,International Business,3rd,IB,28,36,64,128
40,Alexander Clark,"Harvard University, USA",MBA,Innovation Entrepreneurship and Venture Development,3rd,E&I,28,36,64,128
41,Liam Taylor,"Harvard University, USA",MBA,Innovation Entrepreneurship and Venture Development,3rd,E&I,37,25,62,124
42,Jack Garcia,"Harvard University, USA",MBA,International Business,3rd,IB,38,24,62,124
43,Sophia Carter,"Harvard University, USA",MBA,International Business,3rd,IB,36,25,61,122
44,Layla Jackson,"Harvard University, USA",MBA,International Business,3rd,IB,28,33,61,122
45,Noah Martinez,"Harvard University, USA",MBA,Innovation Entrepreneurship and Venture Development,3rd,E&I,19,34,53,106
46,Grace Hall,"Harvard University, USA",MBA,Innovation Entrepreneurship and Venture Development,3rd,E&I,28,23,51,102
47,Carter Wood,"Harvard University, USA",MBA,International Business,3rd,IB,26,18,44,88
48,Emma Reed,"Harvard University, USA",MBA,International Business,3rd,IB,21,21,42,84
49,Harper Diaz,"Harvard University, USA",MBA,International Business,3rd,IB,26,15,41,82
50,James Scott,"Harvard University, USA",MBA,Innovation Entrepreneurship and Venture Development,3rd,E&I,19,19,38,76
51,Chloe Anderson,"Harvard University, USA",MBA,Innovation Entrepreneurship and Venture Development,3rd,E&I,17,20,37,74
52,Oliver Turner,"Harvard University, USA",MBA,Innovation Entrepreneurship and Venture Development,3rd,E&I,24,13,37,74
53,Madison Harris,"Harvard University, USA",MBA,Brand Management,3rd,E&I,15,15,30,60
54,Andrew Phillips,"Harvard University, USA",MBA,International Business,3rd,IB,22,8,30,60
55,Evelyn Robinson,"Harvard University, USA",MBA,Innovation Entrepreneurship and Venture Development,3rd,Finance,17,11,28,56
56,Nicholas Rodriguez,"Harvard University, USA",MBA,International Business,3rd,IB,16,8,24,48
